wkt_geom,geocod,mun,uf,fev_25,fev_26,fev_27,fev_28,fev_29,mar_01,mar_02,mar_03,mar_04,mar_05,mar_06,mar_07,mar_08,mar_09,mar_10,mar_11,mar_12,mar_13,mar_14,mar_15,mar_16,mar_17,mar_18,mar_19,mar_20,mar_21,mar_22,mar_23,mar_24,mar_25,mar_26,mar_27,mar_28,mar_29,mar_30,mar_31
Point (-59.82631400000000355 -3.19739700000000004),1301159,CAREIRO DA VÁRZEA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-63.14218400000000031 -4.08421900000000004),1301209,COARI,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-62.06342999999999677 -3.84304600000000018),1301308,CODAJÁS,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-69.86629000000000644 -6.66735300000000031),1301407,EIRUNEPÉ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-70.0304129999999958 -7.43981799999999982),1301506,ENVIRA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-66.09650299999999845 -2.51227100000000014),1301605,FONTE BOA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-72.5824309999999997 -7.54777400000000043),1301654,GUAJARÁ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-63.02669800000000322 -7.51222499999999993),1301704,HUMAITÁ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-71.69441799999999887 -7.05098000000000003),1301803,IPIXUNA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-60.19338799999999878 -3.28105400000000014),1301852,IRANDUBA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-58.44017500000000354 -3.14037899999999981),1301902,ITACOATIARA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
Point (-68.24791700000000105 -6.43779900000000005),1301951,ITAMARATI,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-58.03454599999999886 -2.74184299999999981),1302009,ITAPIRANGA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-66.9969030000000032 -1.8808450000000001),1302108,JAPURÁ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-66.06304199999999582 -3.47488999999999981),1302207,JURUÁ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-66.7713279999999969 -2.74464599999999992),1302306,JUTAÍ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-64.79477300000000639 -7.26194700000000015),1302405,LÁBREA,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-60.6205890000000025 -3.29827799999999982),1302504,MANACAPURU,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4
Point (-60.4588809999999981 -3.42907999999999991),1302553,MANAQUIRI,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point (-60.02333500000000299 -3.13469100000000012),1302603,MANAUS,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,7,11,25,31,45,52,63,75,105,131,140,159
Point (-61.29924799999999863 -5.81320499999999996),1302702,MANICORÉ,AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
